Commodity;PCOBA;;;;;;;;;;;;;;;;;;;;;;;;
date;Cobalt_USD/ton;;;;;;;;;;;;;;;;;;;;;;;;
2000M1;14437.50;;;;;;;;;;;;;;;;;;;;;;;;
2000M2;14093.75;;;;;;;;;;;;;;;;;;;;;;;;
2000M3;15225.00;;;;;;;;;;;;;;;;;;;;;;;;
2000M4;16218.75;;;;;;;;;;;;;;;;;;;;;;;;
2000M5;16543.48;;;;;;;;;;;;;;;;;;;;;;;;
2000M6;14977.27;;;;;;;;;;;;;;;;;;;;;;;;
2000M7;13071.43;;;;;;;;;;;;;;;;;;;;;;;;
2000M8;13934.78;;;;;;;;;;;;;;;;;;;;;;;;
2000M9;15029.76;;;;;;;;;;;;;;;;;;;;;;;;
2000M10;16681.82;;;;;;;;;;;;;;;;;;;;;;;;
2000M11;16000.00;;;;;;;;;;;;;;;;;;;;;;;;
2000M12;16000.00;;;;;;;;;;;;;;;;;;;;;;;;
2001M1;13500.00;;;;;;;;;;;;;;;;;;;;;;;;
2001M2;13900.00;;;;;;;;;;;;;;;;;;;;;;;;
2001M3;14272.73;;;;;;;;;;;;;;;;;;;;;;;;
2001M4;14119.05;;;;;;;;;;;;;;;;;;;;;;;;
2001M5;10908.70;;;;;;;;;;;;;;;;;;;;;;;;
2001M6;10814.29;;;;;;;;;;;;;;;;;;;;;;;;
2001M7;10293.18;;;;;;;;;;;;;;;;;;;;;;;;
2001M8;9681.52;;;;;;;;;;;;;;;;;;;;;;;;
2001M9;9312.50;;;;;;;;;;;;;;;;;;;;;;;;
2001M10;8250.00;;;;;;;;;;;;;;;;;;;;;;;;
2001M11;8250.00;;;;;;;;;;;;;;;;;;;;;;;;
2001M12;7592.86;;;;;;;;;;;;;;;;;;;;;;;;
2002M1;6950.00;;;;;;;;;;;;;;;;;;;;;;;;
2002M2;6950.00;;;;;;;;;;;;;;;;;;;;;;;;
2002M3;6765.48;;;;;;;;;;;;;;;;;;;;;;;;
2002M4;6625.00;;;;;;;;;;;;;;;;;;;;;;;;
2002M5;6684.78;;;;;;;;;;;;;;;;;;;;;;;;
2002M6;6706.25;;;;;;;;;;;;;;;;;;;;;;;;
2002M7;6788.04;;;;;;;;;;;;;;;;;;;;;;;;
2002M8;6613.64;;;;;;;;;;;;;;;;;;;;;;;;
2002M9;6685.71;;;;;;;;;;;;;;;;;;;;;;;;
2002M10;6188.04;;;;;;;;;;;;;;;;;;;;;;;;
2002M11;6185.71;;;;;;;;;;;;;;;;;;;;;;;;
2002M12;6551.14;;;;;;;;;;;;;;;;;;;;;;;;
2003M1;13724.80;;;;;;;;;;;;;;;;;;;;;;;;
2003M2;14426.48;;;;;;;;;;;;;;;;;;;;;;;;
2003M3;16688.64;;;;;;;;;;;;;;;;;;;;;;;;
2003M4;16924.46;;;;;;;;;;;;;;;;;;;;;;;;
2003M5;17937.89;;;;;;;;;;;;;;;;;;;;;;;;
2003M6;19538.03;;;;;;;;;;;;;;;;;;;;;;;;
2003M7;19581.40;;;;;;;;;;;;;;;;;;;;;;;;
2003M8;19234.44;;;;;;;;;;;;;;;;;;;;;;;;
2003M9;18828.78;;;;;;;;;;;;;;;;;;;;;;;;
2003M10;19552.10;;;;;;;;;;;;;;;;;;;;;;;;
2003M11;25581.51;;;;;;;;;;;;;;;;;;;;;;;;
2003M12;34005.51;;;;;;;;;;;;;;;;;;;;;;;;
2004M1;49222.59;;;;;;;;;;;;;;;;;;;;;;;;
2004M2;49818.73;;;;;;;;;;;;;;;;;;;;;;;;
2004M3;50171.15;;;;;;;;;;;;;;;;;;;;;;;;
2004M4;48601.61;;;;;;;;;;;;;;;;;;;;;;;;
2004M5;46839.23;;;;;;;;;;;;;;;;;;;;;;;;
2004M6;46214.59;;;;;;;;;;;;;;;;;;;;;;;;
2004M7;45381.65;;;;;;;;;;;;;;;;;;;;;;;;
2004M8;43829.22;;;;;;;;;;;;;;;;;;;;;;;;
2004M9;42959.85;;;;;;;;;;;;;;;;;;;;;;;;
2004M10;40463.89;;;;;;;;;;;;;;;;;;;;;;;;
2004M11;31063.64;;;;;;;;;;;;;;;;;;;;;;;;
2004M12;32403.36;;;;;;;;;;;;;;;;;;;;;;;;
2005M1;34645.42;;;;;;;;;;;;;;;;;;;;;;;;
2005M2;33487.84;;;;;;;;;;;;;;;;;;;;;;;;
2005M3;30406.81;;;;;;;;;;;;;;;;;;;;;;;;
2005M4;32460.45;;;;;;;;;;;;;;;;;;;;;;;;
2005M5;29070.72;;;;;;;;;;;;;;;;;;;;;;;;
2005M6;26714.33;;;;;;;;;;;;;;;;;;;;;;;;
2005M7;25135.32;;;;;;;;;;;;;;;;;;;;;;;;
2005M8;29046.21;;;;;;;;;;;;;;;;;;;;;;;;
2005M9;29206.51;;;;;;;;;;;;;;;;;;;;;;;;
2005M10;25262.83;;;;;;;;;;;;;;;;;;;;;;;;
2005M11;25066.68;;;;;;;;;;;;;;;;;;;;;;;;
2005M12;26867.50;;;;;;;;;;;;;;;;;;;;;;;;
2006M1;25742.30;;;;;;;;;;;;;;;;;;;;;;;;
2006M2;23816.45;;;;;;;;;;;;;;;;;;;;;;;;
2006M3;25487.89;;;;;;;;;;;;;;;;;;;;;;;;
2006M4;28037.83;;;;;;;;;;;;;;;;;;;;;;;;
2006M5;28344.52;;;;;;;;;;;;;;;;;;;;;;;;
2006M6;26557.02;;;;;;;;;;;;;;;;;;;;;;;;
2006M7;26079.91;;;;;;;;;;;;;;;;;;;;;;;;
2006M8;31604.26;;;;;;;;;;;;;;;;;;;;;;;;
2006M9;35804.25;;;;;;;;;;;;;;;;;;;;;;;;
2006M10;34671.08;;;;;;;;;;;;;;;;;;;;;;;;
2006M11;35271.36;;;;;;;;;;;;;;;;;;;;;;;;
2006M12;52650.76;;;;;;;;;;;;;;;;;;;;;;;;
2007M1;47696.25;;;;;;;;;;;;;;;;;;;;;;;;
2007M2;48680.27;;;;;;;;;;;;;;;;;;;;;;;;
2007M3;55929.12;;;;;;;;;;;;;;;;;;;;;;;;
2007M4;57833.44;;;;;;;;;;;;;;;;;;;;;;;;
2007M5;54685.37;;;;;;;;;;;;;;;;;;;;;;;;
2007M6;52152.01;;;;;;;;;;;;;;;;;;;;;;;;
2007M7;49984.32;;;;;;;;;;;;;;;;;;;;;;;;
2007M8;46381.59;;;;;;;;;;;;;;;;;;;;;;;;
2007M9;52218.59;;;;;;;;;;;;;;;;;;;;;;;;
2007M10;54467.58;;;;;;;;;;;;;;;;;;;;;;;;
2007M11;59468.67;;;;;;;;;;;;;;;;;;;;;;;;
2007M12;72600.81;;;;;;;;;;;;;;;;;;;;;;;;
2008M1;83037.81;;;;;;;;;;;;;;;;;;;;;;;;
2008M2;91011.23;;;;;;;;;;;;;;;;;;;;;;;;
2008M3;95022.92;;;;;;;;;;;;;;;;;;;;;;;;
2008M4;92483.82;;;;;;;;;;;;;;;;;;;;;;;;
2008M5;88923.57;;;;;;;;;;;;;;;;;;;;;;;;
2008M6;84657.57;;;;;;;;;;;;;;;;;;;;;;;;
2008M7;74009.38;;;;;;;;;;;;;;;;;;;;;;;;
2008M8;50482.28;;;;;;;;;;;;;;;;;;;;;;;;
2008M9;58288.82;;;;;;;;;;;;;;;;;;;;;;;;
2008M10;62763.44;;;;;;;;;;;;;;;;;;;;;;;;
2008M11;41394.17;;;;;;;;;;;;;;;;;;;;;;;;
2008M12;27996.06;;;;;;;;;;;;;;;;;;;;;;;;
