date;exp_td;exchange
1/1/00 00:00;9566330;9.4878
1/2/00 00:00;11358821;9.4252
1/3/00 00:00;11581780;9.2876
1/4/00 00:00;10632048;9.3903
1/5/00 00:00;12800667;9.5158
1/6/00 00:00;12179406;9.8295
1/7/00 00:00;11886127;9.4212
1/8/00 00:00;13430103;9.2709
1/9/00 00:00;12300029;9.354
1/10/00 00:00;14172254;9.5314
1/11/00 00:00;12831345;9.5004
1/12/00 00:00;12008671;9.4659
1/1/01 00:00;11030708;9.7766
1/2/01 00:00;10936099;9.7045
1/3/01 00:00;12533733;9.6006
1/4/01 00:00;11684433;9.3268
1/5/01 00:00;12431922;9.1372
1/6/01 00:00;11959752;9.0867
1/7/01 00:00;11510828;9.1618
1/8/01 00:00;12053349;9.1307
1/9/01 00:00;11355709;9.4189
1/10/01 00:00;13080488;9.345
1/11/01 00:00;11267430;9.2236
1/12/01 00:00;10922754;9.1561
1/1/02 00:00;10234065;9.1616
1/2/02 00:00;10640920;9.0998
1/3/02 00:00;11456859;9.0707
1/4/02 00:00;12747445;9.1629
1/5/02 00:00;12256470;9.5192
1/6/02 00:00;11619490;9.7652
1/7/02 00:00;12424064;9.7808
1/8/02 00:00;12206948;9.8396
1/9/02 00:00;12026645;10.0714
1/10/02 00:00;13016176;10.095
1/11/02 00:00;11613617;10.1975
1/12/02 00:00;11416676;10.2249
1/1/03 00:00;10185723;10.6203
1/2/03 00:00;10702650;10.9372
1/3/03 00:00;11604130;10.9124
1/4/03 00:00;11716791;10.5917
1/5/03 00:00;11427055;10.2512
1/6/03 00:00;11660404;10.5047
1/7/03 00:00;11763828;10.4502
1/8/03 00:00;11525485;10.7811
1/9/03 00:00;12590986;10.9269
1/10/03 00:00;13119388;11.1748
1/11/03 00:00;11802314;11.145
1/12/03 00:00;12551552;11.2486
1/1/04 00:00;10411484;10.9151
1/2/04 00:00;11776077;11.0142
1/3/04 00:00;14058567;11.0094
1/4/04 00:00;12421608;11.2751
1/5/04 00:00;13468052;11.5124
1/6/04 00:00;14196538;11.3894
1/7/04 00:00;12644648;11.4636
1/8/04 00:00;14499237;11.3942
1/9/04 00:00;13416128;11.4864
1/10/04 00:00;13842827;11.3983
1/11/04 00:00;14249067;11.3681
1/12/04 00:00;12783981;11.2041
1/1/05 00:00;11486613;11.2607
1/2/05 00:00;12756727;11.1367
1/3/05 00:00;14140610;11.1427
1/4/05 00:00;14242145;11.1163
1/5/05 00:00;15012744;10.9733
1/6/05 00:00;15029619;10.8228
1/7/05 00:00;13233505;10.6781
1/8/05 00:00;16055114;10.6882
1/9/05 00:00;15025787;10.7775
1/10/05 00:00;15877322;10.8324
1/11/05 00:00;16641430;10.6685
1/12/05 00:00;15693972;10.6295
1/1/06 00:00;14796741;10.547
1/2/06 00:00;14970024;10.4833
1/3/06 00:00;16580203;10.7468
1/4/06 00:00;15535573;11.0421
1/5/06 00:00;18377472;11.0923
1/6/06 00:00;17252267;11.3913
1/7/06 00:00;15990861;10.9858
1/8/06 00:00;18601615;10.872
1/9/06 00:00;17067296;10.9853
1/10/06 00:00;19656783;10.8971
1/11/06 00:00;17255228;10.9177
1/12/06 00:00;16667774;10.8479
1/1/07 00:00;15592683;10.9529
1/2/07 00:00;15927597;10.9998
1/3/07 00:00;17581037;11.1139
1/4/07 00:00;16994616;10.9806
1/5/07 00:00;19417111;10.8167
1/6/07 00:00;18543832;10.835
1/7/07 00:00;18120484;10.8109
1/8/07 00:00;20384663;11.0456
1/9/07 00:00;18771955;11.0315
1/10/07 00:00;21608384;10.8231
1/11/07 00:00;18571967;10.8866
1/12/07 00:00;18195093;10.8484
1/1/08 00:00;17128282;10.91
1/2/08 00:00;18113354;10.7665
1/3/08 00:00;19007307;10.7313
1/4/08 00:00;21314394;10.5154
1/5/08 00:00;20118639;10.4352
1/6/08 00:00;19869284;10.3292
1/7/08 00:00;20913271;10.2155
1/8/08 00:00;19621293;10.1095
