date;shallow;hurrac
ene-17;1627;0
feb-17;1629;0
mar-17;1635;0
abr-17;1632;0
may-17;1644;0
jun-17;1636;1
jul-17;1618;1
ago-17;1572;1
sep-17;1380;1
oct-17;1561;1
nov-17;1534;1
dic-17;1540;0
ene-18;1578;0
feb-18;1547;0
mar-18;1520;0
abr-18;1545;0
may-18;1532;0
jun-18;1510;1
jul-18;1506;1
ago-18;1484;1
sep-18;1495;1
oct-18;1438;1
nov-18;1395;1
dic-18;1405;0
ene-19;1316;0
feb-19;1398;0
mar-19;1386;0
abr-19;1371;0
may-19;1358;0
jun-19;1366;1
jul-19;1375;1
ago-19;1385;1
sep-19;1399;1
oct-19;1352;1
nov-19;1394;1
dic-19;1400;0
ene-20;1412;0
feb-20;1409;0
mar-20;1422;0
abr-20;1419;0
may-20;1387;0
jun-20;1346;1
jul-20;1318;1
ago-20;1352;1
sep-20;1363;1
oct-20;1345;1
nov-20;1352;1
dic-20;1368;0
ene-21;1367;0
feb-21;1389;0
mar-21;1415;0
abr-21;1409;0
may-21;1395;0
jun-21;1391;1
jul-21;1379;1
ago-21;1329;1
sep-21;1370;1
oct-21;1353;1
nov-21;1346;1
dic-21;1348;0
ene-22;1350;0
feb-22;1334;0
mar-22;1321;0
abr-22;1306;0
may-22;1316;0
jun-22;1326;1
jul-22;1327;1
ago-22;1331;1
sep-22;1317;1
oct-22;1331;1
nov-22;1279;1
dic-22;1275;0
ene-23;1291;0
feb-23;1281;0
mar-23;1283;0
abr-23;1289;0
may-23;1288;0
jun-23;1278;1
jul-23;1229;1
ago-23;1263;1
sep-23;1255;1
oct-23;1247;1
nov-23;1239;1
dic-23;1234;0
ene-24;1209;0
feb-24;1208;0
mar-24;1207;0
abr-24;1177;0
